년월,26년 2월,26년 3월,26년 4월,26년 5월,26년 6월,26년 7월,26년 8월,26년 9월,26년 10월,26년 11월,26년 12월,27년 1월,27년 2월,27년 3월,27년 4월,27년 5월,27년 6월,27년 7월,27년 8월,27년 9월,27년 10월,27년 11월,27년 12월,28년 1월,28년 2월,28년 3월,28년 4월,28년 5월,28년 6월,28년 7월,28년 8월,28년 9월,28년 10월,28년 11월,28년 12월
기획/개발,,청구자동화 + 앱 MVP,전산 구축,,,Ver 2,,VER2 전략 최적화,,보험 드러내기 시작..?,,,,,,,,,,,,,,,,,,,,,,,,,
액션,,,GA 설립 준비,서류발급 조직 구축(서울),"GA 설립, 준법감시체계","대건 고도화, 브랜딩, CRM",서류 조직 (수도권) 구축,,대건 외 추가 제휴처,,,,,,,,,,,,,,,,,,,,,,,,,,
비고,,,,소개비율 80%(경력 기준),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
영업 관리자, 3 , 5 , 7 , 9 , 11 , 13 , 15 , 17 , 19 , 21 , 23 , 25 , 27 , 29 , 31 , 33 , 35 , 37 , 39 , 41 , 43 , 45 , 47 , 49 , 51 , 53 , 55 , 57 , 59 , 61 , 63 , 65 , 67 , 69 , 71 
본부장, 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
현재 콜 인원, 8 , 12 , 18 , 24 , 30 , 36 , 42 , 48 , 54 , 60 , 66 , 72 , 78 , 84 , 90 , 96 , 102 , 108 , 114 , 120 , 126 , 132 , 138 , 144 , 150 , 156 , 162 , 168 , 174 , 180 , 186 , 192 , 198 , 204 , 210 
콜 채용 인원, 4 , 6 , 6 , 6 , 6 , 6 , 6 , 6 , 6 , 6 , 6 , 6 , 6 , 6 , 6 , 6 , 6 , 6 , 6 , 6 , 6 , 6 , 6 , 6 , 6 , 6 , 6 , 6 , 6 , 6 , 6 , 6 , 6 , 6 , 6 
콜총괄, 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
콜관리자, - , - , 2 , 3 , 3 , 4 , 4 , 5 , 6 , 6 , 7 , 7 , 8 , 9 , 9 , 10 , 11 , 11 , 12 , 12 , 13 , 14 , 14 , 15 , 15 , 16 , 17 , 17 , 18 , 18 , 19 , 20 , 20 , 21 , 22 
청구팀, 3 , 5 , 6 , 8 , 10 , 12 , 14 , 16 , 18 , 20 , 22 , 24 , 26 , 28 , 30 , 32 , 34 , 36 , 38 , 40 , 42 , 44 , 46 , 48 , 50 , 52 , 54 , 56 , 58 , 60 , 62 , 64 , 66 , 68 , 70 
1인당 청구건, 383 , 360 , 450 , 450 , 450 , 450 , 450 , 450 , 450 , 450 , 450 , 450 , 450 , 450 , 450 , 450 , 450 , 450 , 450 , 450 , 450 , 450 , 450 , 450 , 450 , 450 , 450 , 450 , 450 , 450 , 450 , 450 , 450 , 450 , 450 
청구건수," 1,150 "," 1,800 "," 2,700 "," 3,600 "," 4,500 "," 5,400 "," 6,300 "," 7,200 "," 8,100 "," 9,000 "," 9,900 "," 10,800 "," 11,700 "," 12,600 "," 13,500 "," 14,400 "," 15,300 "," 16,200 "," 17,100 "," 18,000 "," 18,900 "," 19,800 "," 20,700 "," 21,600 "," 22,500 "," 23,400 "," 24,300 "," 25,200 "," 26,100 "," 27,000 "," 27,900 "," 28,800 "," 29,700 "," 30,600 "," 31,500 "
필요db장수(일), 480 , 720 ," 1,080 "," 1,440 "," 1,800 "," 2,160 "," 2,520 "," 2,880 "," 3,240 "," 3,600 "," 3,960 "," 4,320 "," 4,680 "," 5,040 "," 5,400 "," 5,760 "," 6,120 "," 6,480 "," 6,840 "," 7,200 "," 7,560 "," 7,920 "," 8,280 "," 8,640 "," 9,000 "," 9,360 "," 9,720 "," 10,080 "," 10,440 "," 10,800 "," 11,160 "," 11,520 "," 11,880 "," 12,240 "," 12,600 "
